Party,Base year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Last Inventory Year (2016),Change from base year to latest reported year
Australia,"576,800.53","576,800.53","553,217.72","517,923.89","496,201.94","493,161.55","490,464.80","492,931.84","508,460.79","515,865.57","536,440.19","546,999.03","567,396.35","567,942.88","572,013.09","576,988.14","604,690.14","614,941.72","616,683.11","588,100.53","578,213.75","561,901.83","550,304.96","524,641.72","514,129.64","520,954.56","517,204.99","525,036.77",-8.97%
Austria,"66,708.16","66,708.16","65,810.95","64,132.52","63,893.07","64,554.10","66,468.92","72,280.19","63,337.68","64,535.35","60,558.29","64,067.45","65,307.97","72,032.54","87,028.53","82,457.38","82,057.33","84,715.80","81,592.96","82,675.21","75,574.35","79,052.88","76,344.00","74,441.28","75,653.69","71,716.10","74,410.36","75,464.20",13.13%
Belarus,"118,169.05","118,169.05","106,502.31","98,612.53","89,465.38","63,864.77","54,760.36","57,670.25","63,196.73","61,140.05","50,707.08","47,973.74","49,131.95","50,986.43","56,901.19","60,043.86","59,346.82","60,065.35","59,125.48","63,388.30","53,584.06","54,120.79","56,032.29","62,491.72","60,584.28","64,806.63","62,761.36","69,638.68",-41.07%
Belgium,"144,220.33","144,220.33","146,931.68","146,556.78","145,567.95","150,228.12","152,394.37","156,569.60","147,562.36","152,724.85","146,501.27","147,894.21","146,389.62","144,436.03","144,866.57","146,323.43","142,419.27","139,823.05","136,356.97","136,623.25","123,628.82","131,175.85","120,745.69","118,189.81","118,481.29","112,808.66","116,402.19","116,577.58",-19.17%
Bulgaria,"101,519.01","89,118.85","67,838.88","64,468.75","63,999.97","60,192.35","61,033.77","63,627.90","60,475.47","56,672.67","48,341.97","50,141.28","56,309.22","52,043.08","55,852.24","54,270.84","55,012.09","54,830.12","60,017.16","57,532.97","49,314.78","51,426.79","60,775.28","55,665.62","49,688.02","51,983.13","55,417.94","52,577.69",-48.21%
Canada,"535,509.96","535,509.96","521,441.03","547,275.37","554,223.13","574,181.86","603,269.05","615,818.60","629,579.18","630,355.00","654,021.21","690,467.90","663,290.31","681,537.49","693,304.41","717,808.50","711,766.83","694,405.28","713,342.85","687,334.12","632,503.73","662,068.50","667,517.06","672,233.45","684,201.07","683,248.93","687,429.77","676,355.58",26.30%
Croatia,"25,471.05","25,471.05","17,438.95","15,348.40","15,155.10","14,080.95","14,111.70","15,032.65","16,780.75","17,276.49","17,894.24","18,693.93","19,429.57","20,247.22","22,351.81","22,396.63","22,586.55","23,142.51","25,192.70","23,657.56","21,739.17","21,328.72","21,981.39","20,488.83","18,757.66","17,895.78","19,295.71","19,382.93",-23.90%
Cyprus,"5,323.50","5,323.50","5,828.50","6,244.06","6,514.83","6,778.86","6,690.97","7,025.65","7,141.93","7,541.11","7,630.34","8,332.75","8,024.91","8,102.10","8,478.57","8,714.43","8,846.27","9,008.58","9,582.97","9,460.42","9,199.75","8,936.91","8,559.18","8,050.81","7,308.70","7,700.44","7,760.65","8,856.15",66.36%
Czech Republic,"190,912.83","190,912.83","169,215.56","161,806.07","154,305.74","148,931.64","148,921.27","151,188.33","147,691.90","141,229.58","131,354.26","140,253.91","139,653.74","136,406.86","141,110.31","141,548.12","139,454.73","142,956.16","146,859.55","139,039.47","129,293.42","133,569.91","130,300.47","126,406.68","122,124.44","120,260.20","121,088.50","124,246.14",-34.92%
Denmark,"75,387.46","75,387.46","85,549.11","80,510.21","81,469.76","84,810.41","81,891.02","94,478.11","85,453.29","81,425.39","79,276.48","74,914.31","77,331.21","77,908.18","82,643.69","76,286.20","71,808.94","79,980.80","72,785.80","64,560.63","66,043.05","63,693.07","56,875.55","54,356.69","57,471.81","52,405.36","53,840.86","57,033.90",-24.35%
Estonia,"38,894.85","38,894.85","35,702.31","26,204.44","19,299.98","20,569.90","18,430.92","19,103.40","18,420.89","16,123.74","14,669.41","13,978.18","16,115.99","14,982.58","16,499.46","16,711.42","16,306.43","15,727.21","19,048.40","17,147.35","13,827.17","19,189.34","19,081.08","18,079.25","20,383.04","19,442.85","15,833.99","16,942.81",-56.44%
European Union (Convention),"5,386,299.97","5,386,299.97","5,265,473.91","5,120,573.21","5,019,750.59","4,978,204.63","5,012,950.75","5,093,389.28","4,995,125.71","4,933,012.88","4,814,516.14","4,844,477.68","4,880,473.09","4,857,281.90","4,963,238.03","4,930,396.73","4,895,601.23","4,870,267.21","4,858,290.56","4,706,424.45","4,334,913.12","4,448,675.33","4,301,861.40","4,239,173.33","4,138,207.51","3,969,005.14","4,000,271.11","3,989,759.73",-25.93%
European Union (KP),"5,402,545.89","5,402,545.89","5,281,520.03","5,136,579.83","5,035,828.82","4,994,225.99","5,029,126.36","5,109,719.42","5,011,769.71","4,950,027.83","4,831,622.51","4,861,496.06","4,897,183.17","4,874,147.58","4,979,958.22","4,947,266.94","4,912,523.43","4,887,905.59","4,876,397.05","4,724,874.97","4,353,050.37","4,466,588.36","4,319,479.98","4,256,850.12","4,155,959.78","3,986,711.26","4,017,887.36","4,007,313.10",-25.83%
Finland,"57,123.67","57,123.67","42,401.39","46,992.85","48,323.32","60,713.28","58,123.92","55,290.26","57,071.59","55,009.75","51,570.52","47,627.83","51,495.02","53,408.01","60,464.05","55,375.78","41,979.71","46,991.04","52,847.64","45,893.03","29,507.07","47,930.42","38,730.20","29,547.17","35,738.64","27,990.76","26,589.00","31,680.26",-44.54%
France,"523,488.61","523,488.61","552,159.38","543,129.07","516,128.86","511,484.69","517,351.16","531,024.01","523,034.28","532,931.01","523,241.31","532,862.87","526,683.58","512,565.77","512,840.68","509,459.32","509,453.72","494,312.33","486,860.45","481,960.29","463,493.01","479,254.28","455,720.07","449,683.12","447,698.21","418,297.77","423,736.84","428,549.89",-18.14%
Germany,"1,220,323.43","1,220,323.43","1,175,974.47","1,125,029.88","1,115,979.80","1,093,464.76","1,090,313.92","1,107,916.41","1,071,935.92","1,045,910.58","1,011,439.32","1,007,008.40","1,021,333.89","1,034,470.27","1,029,082.44","1,009,542.52","981,031.57","987,881.19","961,562.50","956,515.67","890,154.29","926,414.47","904,571.69","910,152.46","927,716.94","887,784.99","892,376.33","894,925.32",-26.66%
Greece,"100,982.34","100,982.34","100,856.75","102,034.09","101,162.53","104,215.42","106,281.37","110,005.31","115,269.44","121,055.37","120,444.59","124,410.38","124,991.99","124,628.52","128,632.18","129,357.93","133,002.95","129,094.47","133,537.54","128,738.08","121,434.01","115,325.27","112,260.90","108,996.12","100,923.38","98,957.33","91,618.34","88,298.58",-12.56%
Hungary,"107,681.55","91,278.00","85,226.16","74,567.50","73,043.76","71,117.97","70,021.80","76,029.85","74,181.56","72,489.83","75,180.84","72,985.72","73,522.84","72,436.39","73,073.41","73,011.72","70,412.11","71,462.08","69,366.57","65,966.47","61,336.41","61,331.19","60,168.45","55,686.54","53,878.73","53,078.27","55,653.63","57,196.74",-46.88%
Iceland,"13,727.29","13,727.29","13,509.74","13,405.29","13,478.38","13,398.22","13,494.65","13,543.50","13,715.93","13,886.76","14,123.97","14,156.43","14,070.06","14,167.99","14,150.14","14,252.29","14,121.67","14,791.78","15,146.55","15,584.58","15,300.58","15,162.47","14,882.52","14,919.82","14,915.62","14,936.22","14,996.21","14,891.39",8.48%
Ireland,"61,781.89","61,781.89","62,335.88","61,897.89","61,505.40","63,341.46","65,392.84","67,463.88","67,631.55","70,186.75","71,229.11","74,825.76","77,362.88","75,574.31","75,842.26","73,407.92","75,680.26","75,851.52","73,341.91","71,738.46","65,526.17","66,287.34","62,052.07","63,403.04","62,781.06","62,617.54","64,543.44","66,541.36",7.70%
