Week,Worldwide,Australia,Hong Kong,India,Japan,Turkey,Ukraine,United Kingdom,Unuted States
11/05/2014,80,61,47,37,51,38,55,77,73
18/05/2014,78,78,40,43,28,40,0,59,66
25/05/2014,60,69,76,53,30,27,87,27,46
1/06/2014,71,67,53,72,41,6,0,54,47
8/06/2014,55,66,44,72,41,33,0,51,30
15/06/2014,47,55,27,67,51,14,22,55,23
22/06/2014,49,63,20,72,51,14,22,47,26
29/06/2014,46,36,0,76,81,21,0,44,23
6/07/2014,41,19,8,61,59,7,22,35,22
13/07/2014,41,42,19,63,41,7,22,28,21
20/07/2014,41,48,12,60,51,28,0,17,20
27/07/2014,39,59,0,59,30,8,0,14,19
3/08/2014,39,84,16,71,0,0,24,12,19
10/08/2014,44,77,15,65,40,7,0,14,17
17/08/2014,45,81,15,84,39,13,0,15,17
24/08/2014,53,85,15,90,100,7,0,21,25
31/08/2014,53,74,29,88,40,7,0,31,29
7/09/2014,64,67,11,100,20,26,0,42,35
14/09/2014,68,70,34,100,31,19,42,52,37
21/09/2014,75,46,40,91,10,13,0,62,56
28/09/2014,65,26,47,66,40,14,41,66,47
5/10/2014,67,60,44,70,49,21,62,58,49
12/10/2014,63,73,51,71,50,12,20,61,37
19/10/2014,61,73,7,54,51,12,19,56,41
26/10/2014,65,74,28,70,92,30,0,35,44
2/11/2014,74,88,28,64,71,25,19,75,52
9/11/2014,70,73,46,67,30,18,18,55,50
16/11/2014,81,82,35,61,71,12,18,82,61
23/11/2014,60,54,66,63,39,29,17,71,34
30/11/2014,69,55,64,64,20,18,54,59,51
7/12/2014,63,33,100,57,50,35,0,74,49
14/12/2014,47,15,37,58,40,59,18,43,38
21/12/2014,30,13,8,48,41,41,0,17,16
28/12/2014,31,14,27,53,32,17,0,24,17
4/01/2015,49,18,24,70,38,38,0,57,31
11/01/2015,61,20,24,65,38,16,17,71,39
18/01/2015,58,24,34,61,56,22,0,68,41
25/01/2015,60,34,24,56,28,23,51,73,44
1/02/2015,59,35,34,64,28,23,17,66,39
8/02/2015,64,41,28,55,19,17,17,79,50
15/02/2015,64,51,25,52,47,17,17,39,53
22/02/2015,70,42,27,51,19,45,17,73,59
1/03/2015,66,57,46,39,37,28,35,68,53
8/03/2015,63,50,32,39,9,17,0,81,47
15/03/2015,57,57,22,40,9,17,0,67,44
22/03/2015,61,72,48,32,38,18,19,59,52
29/03/2015,51,42,44,24,27,23,17,29,44
